price,source_url,seats,name,year,typeOfCar,condition,origin,km_driven,city,transmission,fuels
505000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/can-ban-xe-24g-san-xuat-2011-gia-chi-505-trieu-option-mien-man-tang-bao-duong-1-nam-aidxc6218152,5," Toyota Camry 2.4G 2011 - 505 triệu
            ", 2011, Sedan, Đã qua sử dụng, Trong nước, 100.000 km, Hà Nội, Số tự động, Xăng
405000000,https://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/gia-hung-auto-ban-xe-20e-mau-bac-1-chi-tu-moi-aidxc3442693,7," Toyota Innova 2.0E 2016 - 405 triệu
            ", 2016, MPV, Đã qua sử dụng, Trong nước, 80.000 km, Hà Nội, Số tay, Xăng
3550000000,https://oto.com.vn/mua-ban-xe-toyota-sienna-hcm/ban-limited-35-2018-nam-san-xuat-2018-aidxc3023065,7," Toyota Sienna 2018 - 3 tỉ 550 triệu
            ", 2018, Van/Minivan, Đã qua sử dụng, Nhập khẩu, 20.000 km, Tp.HCM, Số tự động, Xăng
610000000,https://oto.com.vn/mua-ban-xe-toyota-camry-hcm/may-20-model-2015-mot-doi-chu-xe-nha-trum-men-khong-chay-boi-vay-con-rat-moi-toan-bo-con-zin-theo-xe-aidxc3452554,5," Toyota Camry 2015 - 610 triệu
            ", 2015, Sedan, Đã qua sử dụng, Nhập khẩu, 56.000 km, Tp.HCM, Số tự động, Xăng
3390000000,https://oto.com.vn/mua-ban-xe-toyota-sienna-ha-noi/ban-limited-platinum-35-nhap-my-san-xuat-2018-sieu-moi-aidxc3091529,7," Toyota Sienna 2018 - 3 tỉ 390 triệu
            ", 2018, Van/Minivan, Đã qua sử dụng, Nhập khẩu, 18.000 km, Hà Nội, Số tự động, Diesel
3460000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-hcm/vx-nam-2017-full-option-tu-lanh-bodikit-camera-360-dvd-cua-hit-cop-dien-xe-nha-trum-men-khong-chay-con-rat-moi-aidxc8523347,7," Toyota Land Cruiser VX 4.6 V8 2017 - 3 tỉ 460 triệu
            ", 2017, SUV, Đã qua sử dụng, Nhập khẩu, 52.000 km, Tp.HCM, Số tự động, Xăng
1680000000,https://oto.com.vn/mua-ban-xe-toyota-sienna-ha-noi/ban-35-xle-nhap-my-sx2013-dk-2014den-noi-that-nau-chay-chua-den-7-van-km-cuc-moi-aidxc5286480,7," Toyota Sienna XLE 3.5 AT AWD 2013 - 1 tỉ 680 triệu
            ", 2013, Van/Minivan, Đã qua sử dụng, Nhập khẩu, 69.000 km, Hà Nội, Số tự động, Xăng
635000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/18g-cvt-san-xuat-2018-aidxc5382423,5," Toyota Corolla Altis 1.8G CVT 2018 - 635 triệu
            ", 2018, Sedan, Đã qua sử dụng, Trong nước, 40.000 km, Hà Nội, Số tự động, Xăng
2450000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-ha-noi/ban-vx-v8-nam-2015-mau-den-bao-test-toan-quoc-aid1xc10174186,7," Toyota Land Cruiser VX 4.6 V8 2015 - 2 tỉ 450 triệu
            ", 2015, SUV, Đã qua sử dụng, Trong nước, 100.000 km, Hà Nội, Số tự động, Xăng
715000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/can-ban-25q-dang-ky-2014-gia-tot-aidxc8692131,5," Toyota Camry 2.5Q 2014 - 715 triệu
            ", 2014, Sedan, Đã qua sử dụng, Trong nước, 78.000 km, Hà Nội, Số tự động, Xăng
