brand,model,date,km_driven,transmission,fuel,type,seats,price,url
Mitsubishi,Xpander,2020,29000,Automatic,Gasoline,Hatchback,7,515.000.000,https://xe.chotot.com/mua-ban-oto-thanh-pho-bien-hoa-dong-nai/89487078.htm#px=SR-stickyad-[PO-1][PL-top]
Kia,Rio,2004,82890,Automatic,Gasoline,Sedan,5,172.000.000,https://xe.chotot.com/mua-ban-oto-quan-thanh-khe-da-nang/90821688.htm
Hyundai,Accent,2019,32000,Manual,Gasoline,Sedan,5,355.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448258.htm
Daewoo,Matiz,2007,7656,Automatic,Gasoline,Hatchback,5,125.000.000,https://xe.chotot.com/mua-ban-oto-huyen-gia-lam-ha-noi/89981329.htm
Hyundai,Accent,2020,7000,Automatic,Gasoline,Sedan,5,540.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448230.htm
Toyota,Innova,2019,8000,Manual,Gasoline,Minivan (MPV),8,565.000.000,https://xe.chotot.com/mua-ban-oto-huyen-cu-chi-tp-ho-chi-minh/91175428.htm
Hyundai,Accent,2018,38000,Automatic,Gasoline,Sedan,5,475.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/89712607.htm
Toyota,Fortuner,2021,21000,Automatic,Diesel,SUV / Cross over,7,1.145.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91428236.htm
Ford,Focus,2018,410000,Automatic,Gasoline,Hatchback,5,499.000.000,https://xe.chotot.com/mua-ban-oto-thi-xa-buon-ho-dak-lak/90211872.htm
Ford,Ranger,2018,74000,Manual,Diesel,Pick-up (bán tải),5,565.000.000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/89979645.htm
Hyundai,Accent,2019,17000,Automatic,Gasoline,Sedan,5,485.000.000,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/91383853.htm
Mercedes Benz,A Class,2013,62000,Automatic,Gasoline,Hatchback,5,635.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/89407430.htm
Mitsubishi,Jolie,2004,78000,Manual,Gasoline,SUV / Cross over,7,85.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/89640810.htm
Mazda,6,2016,45000,Automatic,Gasoline,Sedan,5,595.000.000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/84264802.htm
Mitsubishi,Xpander,2020,29000,Automatic,Gasoline,Hatchback,7,515.000.000,https://xe.chotot.com/mua-ban-oto-thanh-pho-bien-hoa-dong-nai/89487078.htm#px=SR-stickyad-[PO-1][PL-top]
Hyundai,Grand i10,2017,42000,Automatic,Gasoline,Hatchback,5,325.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91390838.htm
Ford,Ranger,2019,76000,Automatic,Diesel,Pick-up (bán tải),5,763.000.000,https://xe.chotot.com/mua-ban-oto-huyen-binh-chanh-tp-ho-chi-minh/91448278.htm
Kia,Rio,2004,82890,Automatic,Gasoline,Sedan,5,172.000.000,https://xe.chotot.com/mua-ban-oto-quan-thanh-khe-da-nang/90821688.htm
Hyundai,Accent,2019,32000,Manual,Gasoline,Sedan,5,355.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448258.htm
