name,brand,source_url,type,origin,km_driven,external_color,seats,engine_capacity,fuels,transmission,wheel_drive,price,year
Mercedes-Benz C-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes--benz-class-27548.html,Sedan,Nhập khẩu,0,Ghi xám,,,Xăng,Số sàn,,55000000,Trước 1980
Mercedes-Benz C-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes--benz-class-27547.html,Sedan,Nhập khẩu,0,Ghi xám,,,Xăng,Số sàn,,55000000,Trước 1980
KIA Sorento,,https://www.sanxehot.vn/mua-ban-xe/kia-new-sorento-22at-2014-26003.html,SUV 7 chỗ,Lắp ráp trong nước,49000,Bạc,,2.2,Xăng,Tự động,,810000000,2014
Mercedes-Benz S-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes--benz-s400-30at-2016-26002.html,Sedan,Lắp ráp trong nước,20000,Đen,,3.0,Xăng,Tự động,,3790000000,2016
Lexus RX,,https://www.sanxehot.vn/mua-ban-xe/lexus-rx350-35at-2011-26000.html,SUV 5 chỗ,Nhập khẩu,30000,Trắng,,3.5,Xăng,Tự động,,2190000000,2011
Mazda 2,,https://www.sanxehot.vn/mua-ban-xe/mazda-2s-15at-2012458-25998.html,Sedan,Lắp ráp trong nước,41000,Đỏ,,1.5,Xăng,Tự động,,458000000,2012
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-10at-2011-25997.html,Hatchback,Nhập khẩu,33000,Ghi xám,,1.0,Xăng,Tự động,,378000000,2011
Mercedes-Benz GLA-Class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-gla-45-amg-20at-2016-25993.html,Hatchback,Nhập khẩu,6000,Trắng,,2.0,Xăng,Tự động,,2050000000,2016
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-24at-2007-25991.html,SUV 7 chỗ,Lắp ráp trong nước,11000,Đen,,2.4,Xăng,Tự động,,315000000,2007
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-xls-22mt-2014-25989.html,Bán tải,Nhập khẩu,22000,Bạc,,2.2,Diesel,Số sàn,,490000000,2014
Kia Forte,,https://www.sanxehot.vn/mua-ban-xe/kia-forte-16mt-2012-25988.html,Sedan,Lắp ráp trong nước,6000,Vàng cát,,1.6,Xăng,Số sàn,,446000000, 2012
Lexus RX,,https://www.sanxehot.vn/mua-ban-xe/lexus-rx-33at-2004-25987.html,SUV 5 chỗ,Nhập khẩu,120000,Vàng cát,,3.3,Xăng,Tự động,,710000000, 2004
KIA Rio,,https://www.sanxehot.vn/mua-ban-xe/kia-rio-14at-2015-25982.html,Hatchback,Nhập khẩu,10000,Đỏ,,1.4,Xăng,Tự động,,580000000,2015
Toyota Altis,,https://www.sanxehot.vn/mua-ban-xe/toyota-altis-18mt-2003-25981.html,Sedan,Lắp ráp trong nước,220000,Đen,,1.8,Xăng,Số sàn,,295000000,2003
Kia Forte,,https://www.sanxehot.vn/mua-ban-xe/kia-forte-16at-2011-25980.html,Sedan,Lắp ráp trong nước,60000,Ghi xám,,,Xăng,Tự động,,425000000,2011
Audi Q3,,https://www.sanxehot.vn/mua-ban-xe/audi-q3-20at-2012-25819.html,SUV 5 chỗ,Nhập khẩu,32000,Trắng,,2.0,Xăng,Tự động,,1300000000,2012
Nissan X-Trail,,https://www.sanxehot.vn/mua-ban-xe/nissan-x-trail-20-2wd-2017-23305.html,SUV 7 chỗ,Nhập khẩu,0,Bạc,,2.0,Xăng,Vô cấp,,878000000,2018
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2009-25801.html,SUV 7 chỗ,Lắp ráp trong nước,75000,Hồng phấn,,2.5,Diesel,Số sàn,,518000000,2009
Hyundai Starex,,https://www.sanxehot.vn/mua-ban-xe/hyundai-starex-24mt-2006-25802.html,Bán tải,Nhập khẩu,120000,Bạc,,2.4,Diesel,Số sàn,,310000000, 2006
Hyundai Sonata,,https://www.sanxehot.vn/mua-ban-xe/hyundai-sonata-20at-2009-25774.html,Sedan,Nhập khẩu,60000,Ghi xám,,2.0,Xăng,Tự động,,400000000,2009
Ford Fiesta,,https://www.sanxehot.vn/mua-ban-xe/ford-fiesta-15at-2014-25773.html,Hatchback,Lắp ráp trong nước,20000,Nâu,,1.5,Xăng,Tự động,,440000000,2014
Land Rover All New Range Rover Sport,,https://www.sanxehot.vn/mua-ban-xe/land-rover-all-new-range-rover-sport-25772.html,SUV 5 chỗ,Nhập khẩu,3000,Trắng,,3.0,Xăng,Tự động,,4850000000,2015
Mitsubishi Triton,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-triton-25mt-2007-25771.html,Bán tải,Lắp ráp trong nước,20000,Bạc,,2.5,Diesel,Số sàn,,268000000,2007
